SAMD11,NM_152486.2
MPLKIP,NM_138701.3
SUGCT,NM_024728.2
INHBA,NM_002192.2
GLI3,NM_000168.5
BLVRA,NM_000712.3
DBNL,NM_001122956.1
PGAM2,NM_000290.3
AEBP1,NM_001129.4
GCK,NM_000162.3
GCK,NM_033508.1
CAMK2B,NM_001220.4
NPC1L1,NM_013389.2
H2AFV,NM_201436.2
CCM2,NM_031443.3
ADCY1,NM_021116.2
IGFBP1,NM_000596.2
IGFBP3,NM_001013398.1
PKD1L1,NM_138295.3
ABCA13,NM_152701.4
ZPBP,NM_007009.2
IKZF1,NM_006060.5
DDC,NM_000790.3
GRB10,NM_005311.4
POM121L12,NM_182595.3
VSTM2A,NM_182546.3
EGFR,NM_005228.3
PSPH,NM_004577.3
CHCHD2,NM_016139.2
ZNF727,NM_001159522.1
GUSB,NM_000181.3
ASL,NM_000048.3
KCTD7,NM_153033.4
SBDS,NM_016038.2
AUTS2,NM_015570.3
FKBP6,NM_003602.4
BAZ1B,NM_032408.3
MLXIPL,NM_032951.2
BUD23,NM_001202560.2
STX1A,NM_004603.3
ELN,NM_001278939.1
LIMK1,NM_002314.3
RFC2,NM_181471.2
GTF2IRD1,NM_016328.2
NCF1,NM_000265.5
RCC1L,NM_030798.4
POM121C,NM_001099415.2
HIP1,NM_005338.6
CCL26,NM_006072.4
RHBDD2,NM_001040456.1
POR,NM_000941.2
STYXL1,NM_016086.2
MDH2,NM_005918.3
HSPB1,NM_001540.3
YWHAG,NM_012479.3
ZP3,NM_001110354.1
PTPN12,NM_002835.3
MAGI2,NM_012301.3
GNAI1,NM_002069.5
CD36,NM_001001547.2
SEMA3C,NM_006379.3
HGF,NM_000601.4
CACNA2D1,NM_000722.3
PCLO,NM_033026.5
SEMA3E,NM_012431.2
SEMA3A,NM_006080.2
SEMA3D,NM_152754.2
GRM3,NM_000840.2
ABCB4,NM_000443.3
ABCB1,NM_000927.4
RUNDC3B,NM_138290.2
SLC25A40,NM_018843.3
ADAM22,NM_021723.3
SRI,NM_003130.3
STEAP4,NM_024636.3
AKAP9,NM_005751.4
CYP51A1,NM_000786.3
KRIT1,NM_194456.1
GATAD1,NM_021167.4
PEX1,NM_000466.2
RBM48,NM_032120.2
CDK6,NM_001259.6
SAMD9,NM_017654.3
SAMD9L,NM_152703.3
HEPACAM2,NM_001288804.1
CALCR,NM_001742.3
COL1A2,NM_000089.3
SGCE,NM_001099401.1
SGCE,NM_003919.2
PON1,NM_000446.5
PON3,NM_000940.2
PON2,NM_000305.2
PDK4,NM_002612.3
SLC25A13,NM_014251.2
SEM1,NM_006304.1
DLX6,NM_005222.3
DLX5,NM_005221.5
SDHAF3,NM_020186.2
ASNS,NM_133436.3
TRRAP,NM_003496.3
SMURF1,NM_001199847.1
KPNA7,NM_001145715.1
ARPC1B,NM_005720.3
PTCD1,NM_015545.3
ZKSCAN5,NM_014569.3
ZSCAN25,NM_145115.2
CYP3A5,NM_000777.4
CYP3A7,NM_000765.4
CYP3A4,NM_017460.5
CYP3A43,NM_022820.4
GJC3,NM_181538.2
AZGP1,NM_001185.3
AP4M1,NM_004722.3
TAF6,NM_005641.3
C7orf43,NM_018275.4
GAL3ST4,NM_024637.4
STAG3,NM_012447.3
FBXO24,NM_033506.2
PCOLCE,NM_002593.3
TFR2,NM_003227.3
ACTL6B,NM_016188.4
GNB2,NM_005273.3
GIGYF1,NM_022574.4
EPO,NM_000799.2
ZAN,NM_003386.2
EPHB4,NM_004444.4
SRRT,NM_001128852.1
UFSP1,NM_001015072.3
ACHE,NM_000665.4
MUC17,NM_001040105.1
SERPINE1,NM_000602.4
AP1S1,NM_001283.3
PLOD3,NM_001084.4
DNAJC2,NM_014377.1
PSMC2,NM_002803.3
SLC26A5,NM_198999.2
RELN,NM_005045.3
KMT2E,NM_182931.2
SRPK2,NM_182691.2
PUS7,NM_019042.3
RINT1,NM_021930.4
CDHR3,NM_152750.4
NAMPT,NM_005746.2
PIK3CG,NM_002649.3
PRKAR2B,NM_002736.2
COG5,NM_006348.3
SLC26A4,NM_000441.1
CBLL1,NM_024814.3
SLC26A3,NM_000111.2
DLD,NM_000108.4
LAMB1,NM_002291.2
LAMB4,NM_007356.2
PNPLA8,NM_015723.3
DOCK4,NM_014705.3
IFRD1,NM_001550.3
BMT2,NM_152556.2
GPR85,NM_001146265.1
PPP1R3A,NM_002711.3
FOXP2,NM_014491.3
FOXP2,NM_148900.3
CAV1,NM_001753.4
MET,NM_001127500.1
ST7,NM_021908.2
CFTR,NM_000492.3
CTTNBP2,NM_033427.2
KCND2,NM_012281.2
TSPAN12,NM_012338.3
WNT16,NM_057168.1
AASS,NM_005763.3
FEZF1,NM_001024613.3
CADPS2,NM_017954.10
TAS2R16,NM_016945.2
SLC13A1,NM_022444.3
GPR37,NM_005302.3
POT1,NM_015450.2
PAX4,NM_006193.2
SND1,NM_014390.2
LRRC4,NM_022143.4
LEP,NM_000230.2
RBM28,NM_018077.2
IMPDH1,NM_000883.3
METTL2B,NM_018396.2
OPN1SW,NM_001708.2
CCDC136,NM_022742.4
FLNC,NM_001458.4
IRF5,NM_001098629.2
TNPO3,NM_012470.3
SMO,NM_005631.4
STRIP2,NM_020704.2
ZC3HC1,NM_016478.4
CPA4,NM_016352.3
CPA1,NM_001868.3
CEP41,NM_018718.2
PODXL,NM_005397.3
PLXNA4,NM_020911.1
EXOC4,NM_021807.3
LRGUK,NM_144648.1
BPGM,NM_199186.2
AGBL3,NM_178563.3
CNOT4,NM_001190850.1
NUP205,NM_015135.2
CHRM2,NM_000739.2
AKR1D1,NM_005989.3
ATP6V0A4,NM_020632.2
KIAA1549,NM_001164665.1
ZC3HAV1,NM_020119.3
UBN2,NM_173569.3
FMC1,NM_197964.4
TBXAS1,NM_001061.4
KDM7A,NM_030647.1
SLC37A3,NM_032295.3
BRAF,NM_004333.4
AGK,NM_018238.3
TAS2R3,NM_016943.2
PRSS37,NM_001008270.2
TAS2R38,NM_176817.4
MGAM,NM_004668.2
PRSS1,NM_002769.4
EPHB6,NM_004445.5
TRPV5,NM_019841.6
KEL,NM_000420.2
TMEM139,NM_153345.3
CASP2,NM_032982.3
CLCN1,NM_000083.2
EPHA1,NM_005232.4
OR2F1,NM_012369.2
OR2A25,NM_001004488.1
OR2A12,NM_001004135.1
NOBOX,NM_001080413.3
TPK1,NM_022445.3
CNTNAP2,NM_014141.5
CUL1,NM_003592.2
EZH2,NM_004456.4
PDIA4,NM_004911.4
ZNF783,NM_001195220.1
ACTR3C,NM_001164458.1
GIMAP8,NM_175571.3
TMEM176A,NM_018487.2
AOC1,NM_001091.3
KCNH2,NM_000238.3
KCNH2,NM_172057.2
NOS3,NM_000603.4
ABCB8,NM_001282291.1
ASIC3,NM_020322.3
CDK5,NM_004935.3
ASB10,NM_001142459.1
ASB10,NM_080871.3
CHPF2,NM_019015.2
NUB1,NM_001243351.1
RHEB,NM_005614.3
PRKAG2,NM_016203.3
GALNTL5,NM_145292.3
KMT2C,NM_170606.2
XRCC2,NM_005431.1
DPP6,NM_001936.4
DPP6,NM_130797.3
HTR5A,NM_024012.3
EN2,NM_001427.3
SHH,NM_000193.2
RNF32,NM_001184996.1
LMBR1,NM_022458.3
NOM1,NM_138400.1
MNX1,NM_005515.3
UBE3C,NM_014671.2
DNAJB6,NM_058246.3
WDR60,NM_018051.4
DLGAP2,NM_004745.4
CLN8,NM_018941.3
ARHGEF10,NM_014629.2
MYOM2,NM_003970.3
CSMD1,NM_033225.5
MCPH1,NM_024596.3
AGPAT5,NM_018361.3
DEFB1,NM_005218.3
DEFA4,NM_001925.2
TNKS,NM_003747.2
RP1L1,NM_178857.5
SOX7,NM_031439.3
XKR6,NM_173683.3
MTMR9,NM_015458.3
SLC35G5,NM_054028.1
BLK,NM_001715.2
GATA4,NM_002052.3
NEIL2,NM_145043.2
FDFT1,NM_004462.4
CTSB,NM_001908.3
FAM86B2,NM_001137610.1
DLC1,NM_182643.2
SGCZ,NM_139167.2
TUSC3,NM_006765.3
MSR1,NM_138715.2
FGF20,NM_019851.2
VPS37A,NM_152415.2
MTUS1,NM_001001924.2
FGL1,NM_004467.3
PCM1,NM_006197.3
ASAH1,NM_177924.3
NAT1,NM_000662.7
NAT2,NM_000015.2
PSD3,NM_015310.3
CSGALNACT1,NM_001130518.1
LPL,NM_000237.2
SLC18A1,NM_003053.3
ATP6V1B2,NM_001693.3
LZTS1,NM_021020.3
GFRA2,NM_001495.4
XPO7,NM_015024.4
FGF17,NM_003867.3
FAM160B2,NM_022749.5
HR,NM_005144.4
LGI3,NM_139278.2
SFTPC,NM_003018.3
BMP1,NM_006129.4
BMP1,NM_001199.3
SLC39A14,NM_015359.4
SORBS3,NM_005775.4
CCAR2,NM_021174.5
EGR3,NM_004430.2
RHOBTB2,NM_001160036.1
TNFRSF10B,NM_147187.2
TNFRSF10A,NM_003844.3
LOXL2,NM_002318.2
NKX3-1,NM_006167.3
NKX2-6,NM_001136271.2
ADAM7,NM_003817.3
NEFM,NM_005382.2
NEFL,NM_006158.4
GNRH1,NM_000825.3
DPYSL2,NM_001386.5
ADRA1A,NM_000680.2
PTK2B,NM_004103.4
CHRNA2,NM_000742.3
EPHX2,NM_001979.5
CLU,NM_001831.3
ESCO2,NM_001017420.2
ELP3,NM_018091.5
FZD3,NM_017412.3
EXTL3,NM_001440.3
KIF13B,NM_015254.3
MBOAT4,NM_001100916.1
GTF2E2,NM_002095.4
GSR,NM_000637.3
TEX15,NM_031271.3
WRN,NM_000553.4
NRG1,NM_013962.2
NRG1,NM_013956.3
TTI2,NM_001102401.2
UNC5D,NM_080872.2
KCNU1,NM_001031836.2
ERLIN2,NM_007175.6
PLPBP,NM_007198.3
ADRB3,NM_000025.2
ASH2L,NM_001105214.2
STAR,NM_000349.2
DDHD2,NM_015214.2
FGFR1,NM_023110.2
ADAM9,NM_003816.2
IDO1,NM_002164.5
IDO2,NM_194294.2
SFRP1,NM_003012.4
ANK1,NM_001142445.1
ANK1,NM_000037.3
KAT6A,NM_006766.3
PLAT,NM_000930.3
IKBKB,NM_001556.2
POLB,NM_002690.2
SLC20A2,NM_006749.4
CHRNB3,NM_000749.3
CHRNA6,NM_004198.3
THAP1,NM_018105.2
RNF170,NM_001160223.1
POMK,NM_032237.4
HGSNAT,NM_152419.2
SPIDR,NM_001080394.3
PRKDC,NM_006904.6
MCM4,NM_005914.3
SNAI2,NM_003068.4
SNTG1,NM_018967.3
PXDNL,NM_144651.4
RB1CC1,NM_014781.4
NPBWR1,NM_005285.3
OPRK1,NM_000912.3
ATP6V1H,NM_015941.3
SOX17,NM_022454.3
RP1,NM_006269.1
LYN,NM_002350.3
RPS20,NM_001023.3
PENK,NM_001135690.1
IMPAD1,NM_017813.4
CYP7A1,NM_000780.3
TOX,NM_014729.2
CA8,NM_004056.4
RAB2A,NM_002865.2
CHD7,NM_017780.3
ASPH,NM_004318.3
NKAIN3,NM_001304533.1
GGH,NM_003878.2
TTPA,NM_000370.3
CYP7B1,NM_004820.3
TRIM55,NM_033058.2
CRH,NM_000756.2
CSPP1,NM_024790.6
ARFGEF1,NM_006421.4
CPA6,NM_020361.4
PREX2,NM_024870.2
SULF1,NM_001128205.1
NCOA2,NM_006540.2
XKR9,NM_001011720.1
EYA1,NM_000503.5
MSC,NM_005098.3
TRPA1,NM_007332.2
KCNB2,NM_004770.2
RDH10,NM_172037.4
STAU2,NM_001164385.1
TMEM70,NM_017866.5
LY96,NM_015364.4
JPH1,NM_020647.2
GDAP1,NM_018972.2
PI15,NM_015886.3
ZFHX4,NM_024721.4
PEX2,NM_000318.2
IL7,NM_000880.3
HEY1,NM_012258.3
PMP2,NM_002677.3
FABP4,NM_001442.2
IMPA1,NM_005536.3
LRRCC1,NM_033402.4
CA1,NM_001738.4
CA2,NM_000067.2
ATP6V0D2,NM_152565.1
SLC7A13,NM_138817.2
WWP1,NM_007013.3
CNGB3,NM_019098.4
RIPK2,NM_003821.5
NBN,NM_002485.4
OTUD6B,NM_016023.3
LRRC69,NM_001129890.1
FAM92A,NM_145269.4
RBM12B,NM_203390.2
TMEM67,NM_153704.5
PDP1,NM_018444.3
RAD54B,NM_012415.3
VIRMA,NM_015496.4
INTS8,NM_017864.3
NDUFAF6,NM_152416.3
C8orf37,NM_177965.3
GDF6,NM_001001557.2
UQCRB,NM_006294.4
PTDSS1,NM_014754.2
SDC2,NM_002998.3
MTDH,NM_178812.3
LAPTM4B,NM_018407.4
POP1,NM_015029.2
KCNS2,NM_020697.2
VPS13B,NM_017890.4
SPAG1,NM_172218.2
RNF19A,NM_001280539.1
SNX31,NM_152628.3
YWHAZ,NM_001135699.1
GRHL2,NM_024915.3
RRM2B,NM_015713.4
UBR5,NM_015902.5
KLF10,NM_005655.3
AZIN1,NM_015878.5
FZD6,NM_003506.3
CTHRC1,NM_138455.3
SLC25A32,NM_030780.4
DCAF13,NM_015420.6
RIMS2,NM_014677.4
DCSTAMP,NM_030788.3
DPYS,NM_001385.2
ZFPM2,NM_012082.3
OXR1,NM_001198534.1
ANGPT1,NM_001146.3
EIF3E,NM_001568.2
TRHR,NM_003301.5
PKHD1L1,NM_177531.4
EBAG9,NM_198120.2
KCNV1,NM_014379.2
CSMD3,NM_198123.1
TRPS1,NM_014112.4
RAD21,NM_006265.2
SLC30A8,NM_173851.2
EXT1,NM_000127.2
TNFRSF11B,NM_002546.3
COLEC10,NM_006438.3
TAF2,NM_003184.3
COL14A1,NM_021110.2
MTBP,NM_022045.4
HAS2,NM_005328.2
ZHX2,NM_014943.3
ATAD2,NM_014109.3
FBXO32,NM_058229.3
FAM91A1,NM_144963.2
TMEM65,NM_194291.2
NDUFB9,NM_005005.2
SQLE,NM_003129.3
WASHC5,NM_014846.3
NSMCE2,NM_173685.2
TRIB1,NM_025195.3
POU5F1B,NM_001159542.1
MYC,NM_002467.4
ASAP1,NM_018482.3
ADCY8,NM_001115.2
EFR3A,NM_015137.4
KCNQ3,NM_004519.3
LRRC6,NM_012472.4
TG,NM_003235.4
NDRG1,NM_006096.3
ZFAT,NM_020863.3
FAM135B,NM_015912.3
KCNK9,NM_001282534.1
TRAPPC9,NM_031466.6
DENND3,NM_014957.2
SLC45A4,NM_001080431.2
ARC,NM_015193.4
PSCA,NM_005672.4
SLURP1,NM_020427.2
CYP11B1,NM_000497.3
CYP11B2,NM_000498.3
GPIHBP1,NM_178172.5
TOP1MT,NM_052963.2
ZC3H3,NM_015117.2
NAPRT,NM_145201.5
EEF1D,NM_032378.4
PYCR3,NM_023078.3
FAM83H,NM_198488.3
SCRIB,NM_182706.4
PUF60,NM_078480.2
EPPK1,NM_031308.3
PLEC,NM_000445.4
PLEC,NM_201384.2
PLEC,NM_201383.2
PLEC,NM_201378.3
PARP10,NM_032789.3
OPLAH,NM_017570.4
GPAA1,NM_003801.3
CYC1,NM_001916.4
SHARPIN,NM_030974.3
DGAT1,NM_012079.5
FBXL6,NM_012162.3
SLC52A2,NM_024531.4
SLC39A4,NM_130849.3
TONSL,NM_013432.4
FOXH1,NM_003923.2
GPT,NM_005309.2
RECQL4,NM_004260.3
ZNF34,NM_030580.4
FOXD4,NM_207305.4
DOCK8,NM_203447.3
KANK1,NM_015158.3
DMRT1,NM_021951.2
SMARCA2,NM_003070.4
VLDLR,NM_003383.3
KCNV2,NM_133497.3
RFX3,NM_134428.2
GLIS3,NM_152629.3
GLIS3,NM_001042413.1
SLC1A1,NM_004170.5
PLPP6,NM_203453.3
JAK2,NM_004972.3
INSL6,NM_007179.2
RIC1,NM_020829.3
RANBP6,NM_012416.3
IL33,NM_033439.3
GLDC,NM_000170.2
KDM4C,NM_015061.3
PTPRD,NM_002839.3
TYRP1,NM_000550.2
MPDZ,NM_003829.4
CER1,NM_005454.2
FREM1,NM_144966.5
BNC2,NM_017637.5
CNTLN,NM_017738.3
ADAMTSL1,NM_001040272.5
SAXO1,NM_153707.3
RRAGA,NM_006570.4
HAUS6,NM_001270890.1
PLIN2,NM_001122.3
SLC24A2,NM_020344.3
FOCAD,NM_017794.4
IFNB1,NM_002176.2
IFNA4,NM_021068.2
IFNA10,NM_002171.2
IFNA17,NM_021268.2
KLHL9,NM_018847.2
IFNA2,NM_000605.3
IFNE,NM_176891.4
CDKN2A,NM_000077.4
CDKN2A,NM_058195.3
CDKN2A,NM_058197.4
CDKN2B,NM_004936.3
PLAA,NM_001031689.2
IFT74,NM_025103.2
TEK,NM_000459.4
IFNK,NM_020124.2
C9orf72,NM_018325.4
ACO1,NM_002197.2
DDX58,NM_014314.3
TOPORS,NM_005802.4
TAF1L,NM_153809.2
APTX,NM_175073.2
B4GALT1,NM_001497.3
AQP7,NM_001170.1
AQP3,NM_004925.4
UBAP2,NM_018449.3
UBAP1,NM_001171201.1
KIF24,NM_194313.2
NUDT2,NM_001244390.1
DNAI1,NM_012144.3
ENHO,NM_198573.2
ARID3C,NM_001017363.1
SIGMAR1,NM_005866.3
GALT,NM_000155.3
IL11RA,NM_001142784.2
FAM205A,NM_001141917.1
DNAJB5,NM_001135004.2
VCP,NM_007126.3
FANCG,NM_004629.1
PIGO,NM_032634.3
UNC13B,NM_006377.3
RUSC2,NM_001135999.1
TPM2,NM_003289.3
TLN1,NM_006289.3
CREB3,NM_006368.4
GBA2,NM_020944.2
NPR2,NM_003995.3
GNE,NM_001128227.2
GNE,NM_001190388.1
RNF38,NM_022781.4
PAX5,NM_016734.2
GRHPR,NM_012203.1
FBXO10,NM_012166.2
FRMPD1,NM_014907.2
EXOSC3,NM_016042.3
ALDH1B1,NM_000692.4
ANKRD18A,NM_147195.2
CNTNAP3,NM_033655.3
PRKACG,NM_002732.3
FXN,NM_000144.4
TJP2,NM_004817.3
FAM189A2,NM_001127608.1
MAMDC2,NM_153267.4
SMC5,NM_015110.3
TRPM3,NM_020952.4
TRPM3,NM_001007471.2
TMEM2,NM_013390.2
TMC1,NM_138691.2
ANXA1,NM_000700.2
RORB,NM_006914.3
TRPM6,NM_017662.4
NMRK1,NM_017881.2
PCSK5,NM_001190482.1
PRUNE2,NM_015225.2
VPS13A,NM_033305.2
GNA14,NM_004297.3
GNAQ,NM_002072.4
CEP78,NM_001098802.1
PSAT1,NM_058179.3
FRMD3,NM_001244962.1
UBQLN1,NM_013438.4
HNRNPK,NM_002140.3
RMI1,NM_024945.2
SLC28A3,NM_022127.2
NTRK2,NM_006180.4
AGTPBP1,NM_001286715.1
NAA35,NM_024635.3
ISCA1,NM_030940.3
GAS1,NM_002048.2
DAPK1,NM_004938.3
CDK20,NM_001039803.2
S1PR3,NM_005226.3
SECISBP2,NM_024077.4
SYK,NM_003177.6
AUH,NM_001698.2
ROR2,NM_004560.3
SPTLC1,NM_006415.3
IARS,NM_002161.5
NOL8,NM_017948.5
ECM2,NM_001393.3
BICD2,NM_001003800.1
FGD3,NM_001083536.1
NINJ1,NM_004148.3
WNK2,NM_006648.3
FAM120AOS,NM_198841.2
FAM120A,NM_014612.4
PHF2,NM_005392.3
BARX1,NM_021570.3
ZNF169,NM_003448.2
FBP1,NM_000507.3
FANCC,NM_000136.2
PTCH1,NM_000264.3
PTCH1,NM_001083602.1
PTCH1,NM_001083603.1
ERCC6L2,NM_001010895.2
HSD17B3,NM_000197.1
CCDC180,NM_020893.2
TDRD7,NM_014290.2
NCBP1,NM_002486.4
XPA,NM_000380.3
FOXE1,NM_004473.3
NANS,NM_018946.3
GABBR2,NM_005458.7
ANKS6,NM_173551.3
GALNT12,NM_024642.4
COL15A1,NM_001855.4
TGFBR1,NM_004612.2
ALG2,NM_033087.3
INVS,NM_014425.3
TMEFF1,NM_003692.4
CAVIN4,NM_001018116.2
BAAT,NM_001701.3
ALDOB,NM_000035.3
RNF20,NM_019592.6
GRIN3A,NM_133445.2
NIPSNAP3A,NM_015469.1
ABCA1,NM_005502.3
SLC44A1,NM_080546.4
FSD1L,NM_001145313.2
FKTN,NM_001079802.1
TMEM38B,NM_018112.2
ZNF462,NM_021224.4
RAD23B,NM_002874.4
KLF4,NM_004235.4
ACTL7B,NM_006686.3
ELP1,NM_003640.3
FRRS1L,NM_014334.2
PTPN3,NM_002829.3
PALM2,NM_001037293.2
AKAP2,NM_001004065.4
SVEP1,NM_153366.3
MUSK,NM_005592.3
ECPAS,NM_001080398.1
INIP,NM_021218.1
SLC31A1,NM_001859.3
PRPF4,NM_004697.4
WDR31,NM_145241.3
ALAD,NM_000031.5
COL27A1,NM_032888.3
WHRN,NM_015404.3
TNFSF8,NM_001244.3
TNC,NM_002160.3
TRIM32,NM_012210.3
ASTN2,NM_014010.4
TLR4,NM_138554.4
CDK5RAP2,NM_018249.5
MEGF9,NM_001080497.2
PSMD5,NM_005047.3
PHF19,NM_015651.2
C5,NM_001735.2
CNTRL,NM_007018.4
GSN,NM_000177.4
NDUFA8,NM_014222.2
LHX6,NM_014368.4
MRRF,NM_138777.3
PTGS1,NM_000962.3
OR1J1,NM_001004451.1
OR1B1,NM_001004450.1
CRB2,NM_173689.6
DENND1A,NM_020946.1
PSMB7,NM_002799.3
NR5A1,NM_004959.4
HSPA5,NM_005347.4
MAPKAP1,NM_001006617.1
PBX3,NM_006195.5
LMX1B,NM_002316.3
ANGPTL2,NM_012098.2
ZNF79,NM_007135.2
LRSAM1,NM_138361.5
STXBP1,NM_003165.3
CDK9,NM_001261.3
FPGS,NM_004957.5
ENG,NM_000118.3
AK1,NM_000476.2
DPM2,NM_003863.3
PTGES2,NM_025072.6
CIZ1,NM_012127.2
DNM1,NM_004408.3
GOLGA2,NM_004486.4
COQ4,NM_016035.3
SLC27A4,NM_005094.3
GLE1,NM_001003722.1
SPTAN1,NM_001130438.2
WDR34,NM_052844.3
SET,NM_001122821.1
SPOUT1,NM_016390.3
LRRC8A,NM_019594.3
DOLK,NM_014908.3
NUP188,NM_015354.2
CRAT,NM_000755.3
TOR1A,NM_000113.2
NCS1,NM_014286.3
ASS1,NM_000050.4
PRDM12,NM_021619.2
EXOSC2,NM_014285.6
ABL1,NM_007313.2
LAMC3,NM_006059.3
NUP214,NM_005085.3
POMT1,NM_007171.3
RAPGEF1,NM_198679.1
SETX,NM_015046.5
TSC1,NM_000368.4
GFI1B,NM_004188.5
CEL,NM_001807.4
RALGDS,NM_006266.3
SURF1,NM_003172.3
ADAMTS13,NM_139025.4
TMEM8C,NM_001080483.2
ADAMTSL2,NM_014694.3
DBH,NM_000787.3
SARDH,NM_007101.3
BRD3,NM_007371.3
WDR5,NM_052821.3
COL5A1,NM_000093.4
FCN2,NM_004108.2
FCN1,NM_002003.3
SOHLH1,NM_001101677.1
KCNT1,NM_020822.2
CAMSAP1,NM_015447.3
LHX3,NM_014564.3
GPSM1,NM_015597.5
CARD9,NM_052813.4
SNAPC4,NM_003086.2
PMPCA,NM_015160.2
INPP5E,NM_019892.4
SEC16A,NM_014866.1
NOTCH1,NM_017617.3
EGFL7,NM_016215.4
AGPAT2,NM_006412.3
LCN10,NM_001001712.2
RABL6,NM_024718.4
AJM1,NM_001080482.2
MAMDC4,NM_206920.2
LCN12,NM_178536.3
ABCA2,NM_212533.2
FUT7,NM_004479.3
MAN1B1,NM_016219.4
GRIN1,NM_007327.3
TPRN,NM_001128228.2
NDOR1,NM_014434.3
SLC34A3,NM_080877.2
TUBB4B,NM_006088.5
FAM166A,NM_001001710.2
STPG3,NM_001256699.1
EXD3,NM_017820.4
NSMF,NM_015537.4
EHMT1,NM_024757.4
CACNA1B,NM_000718.3
TUBB8,NM_177987.2
ZMYND11,NM_006624.5
DIP2C,NM_014974.2
PITRM1,NM_001242309.1
KLF6,NM_001300.5
AKR1E2,NM_001040177.2
AKR1C2,NM_001354.5
AKR1C3,NM_003739.5
AKR1C4,NM_001818.3
TUBAL3,NM_024803.2
NET1,NM_001047160.2
ANKRD16,NM_019046.2
FBH1,NM_032807.4
IL2RA,NM_000417.2
PRKCQ,NM_006257.4
ITIH2,NM_002216.2
GATA3,NM_001002295.1
USP6NL,NM_001080491.3
PROSER2,NM_153256.3
UPF2,NM_080599.2
DHTKD1,NM_018706.6
OPTN,NM_021980.4
MCM10,NM_182751.2
PHYH,NM_006214.3
FRMD4A,NM_018027.3
DCLRE1C,NM_001033855.2
ITGA8,NM_003638.2
CUBN,NM_001081.3
VIM,NM_003380.3
HACD1,NM_014241.3
STAM,NM_003473.3
MRC1,NM_002438.3
CACNB2,NM_201597.2
CACNB2,NM_201596.2
CACNB2,NM_201593.2
CACNB2,NM_201590.2
NEBL,NM_006393.2
SKIDA1,NM_207371.3
MLLT10,NM_004641.3
EBLN1,NM_001199938.1
BMI1,NM_005180.8
PIP4K2A,NM_005028.4
PTF1A,NM_178161.2
KIAA1217,NM_019590.4
ARHGAP21,NM_020824.3
MYO3A,NM_017433.4
PDSS1,NM_014317.3
ANKRD26,NM_014915.2
YME1L1,NM_014263.3
MASTL,NM_032844.3
ACBD5,NM_145698.4
PTCHD3,NM_001034842.3
RAB18,NM_021252.4
ARMC4,NM_018076.3
MPP7,NM_173496.3
WAC,NM_016628.4
BAMBI,NM_012342.2
SVIL,NM_003174.3
JCAD,NM_020848.2
MTPAP,NM_018109.3
MAP3K8,NM_005204.3
ZEB1,NM_030751.5
KIF5B,NM_004521.2
EPC1,NM_025209.3
CCDC7,NM_024688.2
ITGB1,NM_002211.3
NRP1,NM_003873.5
PARD3,NM_019619.3
GJD4,NM_153368.2
ZNF37A,NM_003421.2
BMS1,NM_014753.3
RET,NM_020975.4
RET,NM_020630.4
ALOX5,NM_000698.3
MARCH8,NM_001282866.1
RBP3,NM_002900.2
GDF2,NM_016204.2
MAPK8,NM_139049.2
WDFY4,NM_020945.1
ERCC6,NM_000124.3
ERCC6-PGBD3,NM_001277058.1
SLC18A3,NM_003055.2
CHAT,NM_001142933.1
CHAT,NM_020549.4
OGDHL,NM_018245.2
AGAP6,NM_001077665.2
PRKG1,NM_006258.3
CSTF2T,NM_015235.2
DKK1,NM_012242.2
MBL2,NM_000242.2
PCDH15,NM_001142771.1
PCDH15,NM_001142769.1
PCDH15,NM_033056.3
PCDH15,NM_001142763.1
IPMK,NM_152230.4
TFAM,NM_003201.2
BICC1,NM_001080512.2
SLC16A9,NM_194298.2
ANK3,NM_020987.3
CDK1,NM_001786.4
ARID5B,NM_032199.2
RTKN2,NM_145307.3
ZNF365,NM_199451.2
ZNF365,NM_199452.3
EGR2,NM_000399.3
JMJD1C,NM_032776.2
CTNNA3,NM_013266.3
DNAJC12,NM_021800.2
SIRT1,NM_012238.4
MYPN,NM_032578.3
ATOH7,NM_145178.3
DNA2,NM_001080449.2
SLC25A16,NM_152707.3
TET1,NM_030625.2
STOX1,NM_152709.4
KIF1BP,NM_015634.3
HK1,NM_033496.2
HK1,NM_000188.2
NEUROG3,NM_020999.3
COL13A1,NM_001130103.1
NODAL,NM_018055.4
PRF1,NM_001083116.1
TBATA,NM_152710.2
SGPL1,NM_003901.3
PCBD1,NM_000281.3
SLC29A3,NM_018344.5
CDH23,NM_022124.5
VSIR,NM_022153.1
CDH23,NM_001171933.1
PSAP,NM_002778.2
CHST3,NM_004273.4
ASCC1,NM_001198800.2
ASCC1,NM_001198799.2
MICU1,NM_006077.3
P4HA1,NM_001017962.2
DNAJC9,NM_015190.4
MRPS16,NM_016065.3
CFAP70,NM_145170.3
MSS51,NM_001024593.1
USP54,NM_152586.3
NDST2,NM_003635.3
CAMK2G,NM_172171.2
PLAU,NM_002658.3
VCL,NM_014000.2
ADK,NM_001123.3
KAT6B,NM_012330.3
LRMDA,NM_032024.3
KCNMA1,NM_001161352.1
KCNMA1,NM_002247.3
KCNMA1,NM_001271520.1
DLG5,NM_004747.3
POLR3A,NM_007055.3
RPS24,NM_033022.3
RPS24,NM_001142285.1
SFTPA2,NM_001098668.2
SFTPA1,NM_005411.4
SFTPD,NM_003019.4
